**********************************************
REPORTE AUDITORIA
**********************************************

SERVIDOR: 	CALW8BDFCT001
ALIAS	:	FACTNPT
APP		:	GESFOR

FCHINI	:	2016-01-11 14:52:54.590
FCHFIN	:	2016-01-19 18:27:20.273
**********************************************
USUARIO: GOREPOSITORIO
REGISTROS AUDITADOS : 9,922,053


************************************************
ACCESOS DESDE HOST DE IVAN MARTINEZ
************************************************
NPTDSKAX43167	84945

************************************************
ACCESOS DESDE HOST
************************************************
HostName		ACCESOS
CALW3APPSGC001	976113
NPTDSKAX43096	818774
CALDK587642		601128
CALDK15453020	484663
NPTDSKAX43070	480732
NPTDSKAX43078	445186
NPTDSKAX43074	428606
NPTDSKAX43033	283364
NPTDSKAX43037	256484
CALDK4684		254383
PAIDKGAPAITA3	225989
PAIDK70061		223263
CALDK154530		211067
NPTDSKAX43166	200214
CALDK6422		196367
CALDK31451		188687
NPTDSKAX43207	186889
CALDK7848		176527
NPTDSKAX43025	168968
CALDK7596		142894
NPTDSKAX43217	138986
CAKL291312		136589
CALDK9462		135084
NPTDSKAX43336	132831
CALDK13471		128898
NPTDSKAX43209	117803
CALDK4192		94336
CALLP55633		94146
PAIDKANALISTA	91381
CALDK418148		90400
NPTDSKAX43324	88900
CALDK5248		88838
NPTDSKAX43159	88338
CALKD131021		87216
CALDK47976		85382
NPTDSKAX43167	84945
NPTLPTAX44038	84725
NPTDSKAX43231	76436
PAIDK700612		75331
PAIDKREOTAYZA	74551
NPTDSKAX43182	68052
NPTLPTAX44023	62302
CALDK41342		62067
NPTDSKAX43088	60556
NPTDSKAX43129	60541
NPTDSKAX43054	56647
EPNU			56077
PAIDK55544		53407
NPTDSKAX43289	43300
CALDK3146		40871
NPTDSKAX43183	40337
NPTDSKAX43090	39786
PAIDKCOMPRASPAI	38702
NPTDSKAX43179	33458
NPTLPTAXAA009	22945
CALDK00271		20255
PAIDK41132		17798
TIW7TEST006		15512
NPTLPTAX436401	13133
NPTLPTAX44009	12350
CALLP4378		11708
TIW8APP001		11703
NPTDSKAX43295	11183
NPTLPTAX43019	10915
CALLP1969		10324
NPTDSKAX43157	10104
CALDK198715		9618
NPTDSKAX43138	9356
NPTDSKAX43111	7862
NPTLPTAX44005	7077
NPTDSKAX43311	6370
CALDK9807		5098
NPTDSKAX43046	5030
CALDK175902		4296
CALW3APPWCF001	3704
NPTDSKAX43072	3286
CALLP6953		3284
NPTDSKAX43211	2788
NPTLTPAX44008	2732
NPTDSKAX43322	2131
NPTDSKAX43283	1744
CALW3BDSGC2		1656
NPTDSKAX43219	1448
NPTDSKAX43161	1302
CALLP3425		1238
XTREME-PC		1226
NPTDSKAX43259A	1147
CALDK061801		1144
CALDK7421		1098
CALDK025478		1073
NPTLPTAX44004	998
CALDK344428		691
NPTLPTAX43001A	641
NPTDSKAX43261	540
NPTDSKAX43057	479
CALLP3561		421
NPTDSKAX43194	420
NPTLPTAX44030	386
CALDK00236		364
CALDK012811		329
CALDK879653		300
PAILP2090		275
CALW12WEBNOL	172
NPTDSKAX43003	163
NPTLPTAXAA010	134
NPTDSKAX43290	95
MXL41814B6		95
CALDK5050		95
NPTDSKAX43203	95
NEPTUNIAP16		78
